I
you
mother
who
donotwant
like
want
need
big
small
cold
more
food
drink
time
clothes
aunt
uncle
red
blue
green
yellow
email
message
alarm
sorry
please
weather
today
tomorrow
turnon
turnoff
microwaveoven
fridge
where
what
white
black
book
shoes
evening
morning
afternoon
your
my
and
father
hot
when
milk
is
are
the
in
do
does
